imageName,imageNumber,typeOfPCD
tree_1_V_0000,1,k
tree_1_V_0000,2,k
tree_1_V_0000,3,k
tree_1_V_0000,4,k
tree_1_V_0001,1,k
tree_1_V_0001,2,k
tree_1_V_0001,3,k
tree_1_V_0001,4,k
tree_1_V_0004,1,k
tree_1_V_0004,2,k
tree_1_V_0004,3,k
tree_1_V_0004,4,k
tree_1_V_0005,1,k
tree_1_V_0005,2,k
tree_1_V_0005,3,k
tree_1_V_0005,4,k
tree_1_V_0008,1,k
tree_1_V_0008,2,k
tree_1_V_0008,3,k
tree_1_V_0008,4,k
tree_1_V_0009,1,k
tree_1_V_0009,2,k
tree_1_V_0009,3,k
tree_1_V_0009,4,k
tree_1_V_0010,1,k
tree_1_V_0010,2,k
tree_1_V_0010,3,k
tree_1_V_0010,4,k
tree_1_V_0012,1,k
tree_1_V_0012,2,k
tree_1_V_0012,3,k
tree_1_V_0012,4,k
tree_1_V_0014,1,k
tree_1_V_0014,2,k
tree_1_V_0014,3,k
tree_1_V_0014,4,k
tree_1_V_0015,1,k
tree_1_V_0015,2,k
tree_1_V_0015,3,k
tree_1_V_0015,4,k
tree_1_V_0016,1,k
tree_1_V_0016,2,k
tree_1_V_0016,3,k
tree_1_V_0016,4,k
tree_1_V_0018,1,k
tree_1_V_0018,2,k
tree_1_V_0018,3,k
tree_1_V_0018,4,k
tree_1_V_0019,1,k
tree_1_V_0019,2,k
tree_1_V_0019,3,k
tree_1_V_0019,4,k
tree_1_V_0022,1,k
tree_1_V_0022,2,k
tree_1_V_0022,3,k
tree_1_V_0022,4,k
tree_1_V_0026,1,k
tree_1_V_0026,2,k
tree_1_V_0026,3,k
tree_1_V_0026,4,k
tree_1_V_0027,1,k
tree_1_V_0027,2,k
tree_1_V_0027,3,k
tree_1_V_0027,4,k
tree_1_V_0028,1,k
tree_1_V_0028,2,k
tree_1_V_0028,3,k
tree_1_V_0028,4,k
tree_1_V_0030,1,k
tree_1_V_0030,2,k
tree_1_V_0030,3,k
tree_1_V_0030,4,k
tree_1_V_0031,1,k
tree_1_V_0031,2,k
tree_1_V_0031,3,k
tree_1_V_0031,4,k
tree_1_V_0032,1,k
tree_1_V_0032,2,k
tree_1_V_0032,3,k
tree_1_V_0032,4,k
tree_1_V_0033,1,k
tree_1_V_0033,2,k
tree_1_V_0033,3,k
tree_1_V_0033,4,k
tree_1_V_0034,1,k
tree_1_V_0034,2,k
tree_1_V_0034,3,k
tree_1_V_0034,4,k
tree_1_V_0035,1,k
tree_1_V_0035,2,k
tree_1_V_0035,3,k
tree_1_V_0035,4,k
tree_1_V_0037,1,k
tree_1_V_0037,2,k
tree_1_V_0037,3,k
tree_1_V_0037,4,k
tree_1_V_0038,1,k
tree_1_V_0038,2,k
tree_1_V_0038,3,k
tree_1_V_0038,4,k
